previous_gpa,attendance_rate,study_hours,assignment_average,test_average,library_visits,class_participation,predicted_gpa,risk_level
2.62,73.5,9.9,63.9,57.3,7,8.3,3.37,MEDIUM
3.93,84.3,8.0,82.8,63.3,3,10.0,4.14,MEDIUM
2.48,84.7,6.5,45.3,65.3,5,9.8,3.29,LOW
2.79,57.1,8.1,51.9,54.3,6,5.0,3.11,HIGH
1.51,100.0,15.0,29.1,17.9,9,10.0,2.71,HIGH
3.18,79.2,10.6,59.6,68.7,11,10.0,4.03,LOW
4.23,100.0,16.3,82.3,79.7,5,8.5,5.0,LOW
2.97,90.6,5.3,50.9,55.9,3,7.1,3.32,MEDIUM
3.9,78.8,16.2,56.1,60.2,12,8.0,4.32,MEDIUM
2.39,67.0,14.6,62.5,72.9,6,7.3,3.44,MEDIUM
3.69,76.2,3.0,68.5,64.2,0,10.0,3.7,MEDIUM
3.42,80.4,21.0,73.8,76.7,10,7.1,4.59,LOW
1.17,100.0,14.0,29.4,28.8,12,10.0,3.04,HIGH
1.96,97.6,16.6,49.8,53.6,7,10.0,3.8,MEDIUM
2.63,85.2,18.9,77.8,55.5,10,9.0,4.33,MEDIUM
2.74,100.0,17.8,44.7,56.8,12,9.2,3.96,MEDIUM
3.35,45.7,11.2,57.4,55.0,5,5.7,3.45,HIGH
1.38,85.4,16.4,26.7,43.6,8,7.9,2.81,HIGH
1.38,98.1,1.1,56.7,54.1,0,10.0,3.36,MEDIUM
2.76,86.8,14.4,56.3,44.3,7,8.3,3.47,HIGH
3.86,56.7,22.4,81.7,62.0,9,5.4,4.38,HIGH
3.4,100.0,7.8,39.6,100.0,5,9.2,4.17,LOW
2.0,90.2,17.5,48.7,34.0,13,7.9,3.38,HIGH
1.0,83.5,22.6,26.4,25.3,18,10.0,2.55,HIGH
2.24,79.4,16.1,62.5,66.0,13,8.3,3.89,LOW
3.31,100.0,18.2,71.3,81.3,11,10.0,5.0,LOW
4.19,85.1,2.6,73.6,47.5,8,4.0,3.84,HIGH
1.26,74.1,6.4,49.7,44.8,12,6.4,2.73,HIGH
4.15,65.0,20.6,94.0,73.8,12,5.0,4.9,MEDIUM
3.11,90.1,17.8,76.7,59.7,7,8.5,4.28,MEDIUM
4.19,93.8,15.0,85.4,90.6,13,7.3,5.0,LOW
3.34,78.9,10.4,62.3,60.6,3,4.7,3.83,MEDIUM
3.42,69.1,13.7,68.6,59.7,6,8.3,4.16,MEDIUM
4.11,99.3,22.4,72.5,71.7,6,8.7,4.51,LOW
2.33,63.8,11.4,52.1,46.4,9,7.5,3.21,HIGH
4.46,100.0,16.2,75.9,84.6,3,7.6,4.79,LOW
2.9,66.2,16.0,56.8,74.5,12,3.4,3.7,MEDIUM
3.93,57.5,8.0,95.4,78.1,11,6.2,4.5,HIGH
4.18,59.6,8.5,80.9,76.4,11,7.2,4.36,HIGH
0.84,60.2,21.2,23.3,36.3,8,4.8,2.14,HIGH
3.82,74.2,15.4,61.3,80.8,4,5.4,4.5,MEDIUM
4.28,70.5,7.9,78.3,84.9,4,9.5,4.81,MEDIUM
3.84,94.4,10.1,80.0,63.7,9,9.3,4.29,MEDIUM
1.53,92.1,6.1,39.3,44.5,8,7.2,3.07,HIGH
1.99,74.4,18.4,44.3,20.4,13,4.4,2.9,HIGH
2.5,100.0,10.5,56.7,71.4,8,8.6,4.02,LOW
3.11,74.2,10.6,65.5,79.9,14,6.6,4.44,MEDIUM
2.43,76.3,17.0,58.5,62.7,9,9.2,3.82,MEDIUM
4.09,57.6,1.9,83.6,90.1,0,5.7,4.33,HIGH
0.33,76.7,11.8,19.1,21.7,4,7.4,1.97,HIGH
2.55,82.8,11.9,51.8,44.6,9,6.4,3.45,HIGH
1.95,59.1,10.3,44.2,30.2,6,8.7,2.54,HIGH
4.48,70.0,8.7,87.8,92.8,8,9.0,5.0,MEDIUM
3.36,83.2,7.7,76.7,56.1,4,10.0,3.45,MEDIUM
3.23,69.6,13.7,60.1,58.7,10,6.8,3.68,MEDIUM
1.95,66.3,5.9,42.7,48.0,3,7.4,2.71,HIGH
3.48,90.5,13.0,59.0,66.3,7,3.9,4.21,LOW
1.57,57.5,8.7,23.5,43.1,6,6.2,2.1,HIGH
3.08,60.6,9.1,48.9,39.5,1,9.9,3.21,HIGH
4.22,80.8,13.2,68.3,74.3,8,6.9,4.68,LOW
4.29,91.5,9.0,72.6,87.9,8,7.2,4.54,LOW
2.12,82.9,19.6,51.4,42.5,8,8.0,3.4,HIGH
4.15,74.4,11.2,66.5,65.7,13,5.7,4.26,MEDIUM
0.86,73.1,18.3,28.1,41.5,11,5.5,2.44,HIGH
2.62,94.2,7.4,62.7,49.7,3,9.9,3.68,HIGH
2.17,91.7,7.3,39.3,50.7,3,10.0,3.19,MEDIUM
0.58,78.8,2.0,18.7,23.5,7,8.4,2.14,HIGH
3.65,73.6,9.0,56.5,69.0,4,5.1,3.95,MEDIUM
4.09,78.6,10.6,66.8,93.6,8,6.5,4.57,LOW
3.94,66.4,12.5,87.8,80.0,10,7.3,4.58,MEDIUM
3.67,75.6,16.2,75.1,54.8,11,8.9,4.22,MEDIUM
3.28,70.2,15.7,85.7,59.4,8,6.6,4.39,MEDIUM
4.53,76.4,18.8,75.5,76.4,13,5.9,4.92,LOW
2.28,70.7,6.7,64.2,52.4,5,8.6,3.3,MEDIUM
3.48,86.4,12.2,59.9,77.6,2,10.0,4.37,LOW
1.98,91.1,6.0,39.6,46.0,8,10.0,3.57,HIGH
3.91,71.9,14.5,100.0,72.7,7,10.0,4.62,MEDIUM
3.83,65.0,22.8,64.0,44.8,12,5.3,4.19,HIGH
3.1,89.4,4.8,77.4,77.3,5,10.0,4.34,LOW
3.65,81.0,16.1,69.4,67.0,8,10.0,4.38,LOW
2.59,72.1,18.3,43.1,57.3,13,6.2,3.41,MEDIUM
3.31,100.0,6.6,50.4,67.4,2,8.3,4.14,LOW
1.0,69.0,14.6,31.0,22.7,7,5.0,2.28,HIGH
3.45,46.1,9.8,55.5,63.3,10,4.4,3.8,HIGH
4.55,66.7,11.3,80.3,72.4,7,3.7,4.64,MEDIUM
2.8,100.0,9.6,37.9,73.8,3,10.0,3.94,LOW
3.2,72.9,10.7,66.6,36.1,7,4.7,3.31,HIGH
2.49,69.8,18.9,37.0,41.4,12,7.8,3.72,HIGH
1.95,78.4,11.5,43.7,41.5,3,3.3,2.69,HIGH
3.81,94.2,8.4,58.3,89.3,11,10.0,4.83,LOW
2.6,76.7,12.4,66.2,62.9,13,10.0,3.58,MEDIUM
3.86,87.5,0.0,51.8,52.4,2,5.6,3.94,MEDIUM
2.98,75.0,7.1,56.8,58.3,4,8.1,3.18,MEDIUM
1.24,87.6,19.5,39.2,44.0,11,8.3,3.05,HIGH
1.77,80.9,11.1,45.2,69.6,10,8.4,3.21,LOW
3.27,71.6,9.1,51.6,59.7,7,8.4,4.0,MEDIUM
3.25,82.1,13.0,46.3,49.2,9,6.6,3.52,HIGH
2.27,69.3,16.4,56.9,53.7,14,6.8,3.62,MEDIUM
3.07,55.9,20.0,59.8,60.4,15,2.0,3.71,HIGH
2.01,77.7,9.3,34.5,51.7,3,7.9,2.71,MEDIUM
1.88,57.4,9.4,51.4,52.6,9,1.6,2.97,HIGH
3.23,87.6,10.7,57.8,67.1,10,10.0,4.15,LOW
0.25,77.4,18.2,12.1,27.8,11,4.8,2.34,HIGH
2.2,100.0,12.3,39.3,68.4,9,10.0,3.89,LOW
2.99,72.7,25.0,52.3,56.4,13,8.9,3.87,MEDIUM
4.49,77.7,11.0,74.5,66.2,3,10.0,4.51,LOW
2.79,54.5,22.6,60.1,60.8,18,9.0,3.89,HIGH
4.43,60.3,6.6,97.0,64.6,1,8.8,4.56,MEDIUM
2.13,51.1,3.7,33.0,34.4,8,5.1,2.54,HIGH
3.97,95.2,11.4,71.1,63.7,7,10.0,4.41,MEDIUM
2.83,70.6,18.8,55.8,42.6,15,7.6,3.86,HIGH
1.84,99.2,9.1,47.2,57.7,6,10.0,3.55,MEDIUM
2.17,35.1,8.3,57.5,49.0,8,2.3,2.78,HIGH
3.87,100.0,18.2,71.4,80.6,12,10.0,5.0,LOW
3.68,76.9,16.2,63.9,75.7,8,6.1,4.46,LOW
4.07,83.4,7.2,81.9,72.5,6,6.2,4.25,LOW
2.72,61.0,6.9,39.3,67.6,5,6.9,3.29,MEDIUM
2.4,86.4,17.0,29.6,45.9,12,5.1,3.48,HIGH
3.3,72.0,2.2,90.4,62.2,3,7.4,4.13,MEDIUM
1.39,58.9,18.5,27.8,29.0,12,9.2,2.84,HIGH
2.79,58.7,16.2,52.8,73.9,6,6.7,3.48,HIGH
2.7,58.4,0.0,60.9,54.5,0,5.9,3.44,HIGH
2.88,84.1,12.1,61.7,65.5,8,6.7,4.24,LOW
3.39,67.8,0.1,74.8,58.5,2,3.8,3.33,MEDIUM
1.77,51.8,4.8,51.0,53.0,1,6.9,2.61,HIGH
4.62,83.9,9.0,69.8,91.9,8,8.4,5.0,LOW
4.08,43.2,4.4,88.9,55.7,6,5.6,3.68,HIGH
3.29,99.3,25.3,69.4,64.1,15,5.5,4.68,MEDIUM
1.13,100.0,17.2,35.7,35.2,10,10.0,3.11,HIGH
4.03,57.0,20.2,79.7,70.8,8,9.7,4.8,HIGH
2.12,94.8,11.2,24.5,64.3,3,10.0,3.46,MEDIUM
4.76,83.6,12.2,84.3,70.1,9,9.0,4.52,LOW
2.37,70.0,21.5,40.9,45.9,10,4.9,3.44,HIGH
1.99,70.7,14.6,33.8,35.7,7,7.3,3.11,HIGH
2.74,88.5,15.7,51.3,68.8,10,9.2,4.0,LOW
2.13,77.4,6.5,55.2,35.5,11,6.7,3.09,HIGH
3.36,36.5,6.5,68.2,43.0,4,2.8,3.07,HIGH
2.8,100.0,13.6,61.4,62.4,14,10.0,4.11,MEDIUM
3.08,84.9,14.2,56.7,59.4,8,6.6,4.37,MEDIUM
2.93,77.2,6.0,62.7,71.5,6,6.9,3.61,LOW
3.44,66.5,14.2,64.6,75.9,11,7.8,4.37,MEDIUM
2.8,75.0,4.7,66.5,56.7,7,10.0,3.86,MEDIUM
4.34,98.3,12.1,87.0,61.4,9,9.2,4.76,MEDIUM
2.5,82.2,3.4,54.1,38.6,2,4.6,2.8,HIGH
4.05,84.0,20.0,67.7,53.4,14,4.1,4.33,MEDIUM
4.54,58.0,10.1,85.9,79.9,8,10.0,4.85,HIGH
1.89,72.4,7.8,45.8,36.6,4,3.4,2.7,HIGH
1.24,78.8,5.1,34.9,33.3,8,8.0,2.88,HIGH
4.35,89.1,4.5,75.5,81.0,5,5.9,4.43,LOW
2.64,71.3,14.6,48.1,77.8,7,5.6,3.56,MEDIUM
3.05,92.8,18.0,64.0,67.7,8,8.0,4.42,LOW
2.05,59.7,17.4,37.2,47.6,16,2.1,2.6,HIGH
2.29,79.1,20.4,46.8,31.3,10,10.0,3.28,HIGH
4.58,76.4,22.5,89.5,82.4,15,8.5,5.0,LOW
4.22,53.8,17.7,82.6,87.6,12,4.5,4.6,HIGH
3.04,77.2,9.0,49.0,65.2,8,6.6,3.57,LOW
2.67,68.7,13.0,58.0,42.8,14,9.0,3.18,HIGH
3.62,100.0,0.0,89.7,64.2,4,10.0,4.68,MEDIUM
2.29,71.4,15.8,56.1,50.9,12,10.0,3.86,MEDIUM
3.36,83.6,12.9,62.6,60.1,7,7.5,3.69,MEDIUM
1.88,58.3,21.6,56.3,36.9,10,6.7,3.23,HIGH
1.65,81.8,7.5,61.7,15.3,13,5.7,2.74,HIGH
3.21,71.4,15.1,71.7,53.7,9,6.3,4.0,MEDIUM
3.05,65.6,6.0,43.4,63.7,4,8.6,3.5,MEDIUM
2.9,100.0,11.3,64.7,69.1,8,10.0,3.95,LOW
2.31,72.3,2.2,63.1,51.2,3,10.0,3.43,MEDIUM
3.62,74.6,20.1,48.7,81.4,16,8.4,4.34,MEDIUM
2.58,92.4,18.3,63.0,53.2,12,10.0,3.52,MEDIUM
0.94,65.7,9.2,27.1,20.6,2,7.8,2.07,HIGH
2.65,84.5,13.6,67.9,49.4,6,7.6,3.4,HIGH
2.18,86.2,12.2,46.9,54.5,8,5.6,3.56,MEDIUM
3.72,81.9,8.3,74.3,66.9,9,7.7,4.22,LOW
4.43,100.0,12.7,85.0,72.3,3,7.7,4.89,LOW
4.63,65.1,9.3,91.6,64.2,8,8.6,4.72,MEDIUM
2.93,100.0,17.9,63.4,48.2,13,10.0,4.21,HIGH
2.09,85.6,10.7,37.3,42.5,10,6.5,2.98,HIGH
3.0,92.6,26.3,57.4,53.1,14,10.0,4.55,MEDIUM
3.3,83.5,11.5,64.4,52.4,10,6.0,3.86,MEDIUM
3.52,100.0,12.7,80.1,86.0,5,10.0,4.57,LOW
3.97,72.9,15.2,79.4,80.8,12,7.0,4.72,MEDIUM
2.35,86.0,17.0,43.7,77.2,10,9.5,3.9,LOW
3.77,98.9,12.5,62.4,51.5,8,10.0,4.32,MEDIUM
1.96,69.1,15.0,51.0,49.3,9,8.1,3.26,HIGH
2.76,94.0,13.1,51.7,51.5,10,9.1,3.83,MEDIUM
3.03,77.7,7.3,68.0,60.7,2,9.5,4.1,MEDIUM
2.63,58.2,5.7,53.9,77.0,7,3.9,3.18,HIGH
2.86,54.8,16.2,72.5,37.2,12,1.6,2.87,HIGH
2.4,76.5,21.1,43.7,44.8,11,9.9,3.57,HIGH
2.41,93.9,2.2,65.6,42.8,3,6.8,3.48,HIGH
3.86,44.7,3.4,82.7,65.2,1,6.3,3.43,HIGH
1.4,81.2,3.3,31.6,12.3,0,8.4,2.24,HIGH
4.36,92.3,16.7,71.6,94.4,10,9.2,4.87,LOW
4.33,57.6,17.2,99.2,94.5,11,3.9,5.0,HIGH
4.08,67.9,6.1,67.2,82.1,4,5.9,4.19,MEDIUM
0.79,87.2,25.2,29.9,13.0,10,8.7,2.43,HIGH
2.12,91.6,9.7,50.3,51.1,8,9.6,3.15,MEDIUM
4.0,100.0,20.6,75.1,84.4,11,8.2,5.0,LOW
3.83,68.6,16.9,80.3,76.3,8,8.3,5.0,MEDIUM
3.76,65.0,6.3,62.1,70.1,8,8.1,3.78,MEDIUM
2.48,100.0,9.5,71.5,69.7,3,10.0,3.83,LOW
2.87,65.9,6.8,49.8,49.7,7,5.7,3.24,HIGH
2.95,86.1,3.9,57.8,57.3,0,10.0,3.56,MEDIUM
1.76,100.0,10.5,27.1,50.2,2,10.0,3.07,MEDIUM
3.06,90.0,4.8,71.4,64.7,5,5.1,3.89,MEDIUM
2.89,90.5,11.0,77.2,65.1,6,9.5,4.54,LOW
2.27,98.4,23.6,69.1,56.2,10,10.0,4.44,MEDIUM
4.47,86.4,16.2,93.3,86.8,12,10.0,5.0,LOW
2.77,90.6,8.7,52.9,52.5,7,10.0,3.86,MEDIUM
2.42,72.5,8.2,51.4,43.6,0,5.8,2.64,HIGH
3.37,96.6,9.6,62.3,66.8,9,9.9,4.32,LOW
2.37,84.6,24.4,38.3,69.2,11,8.1,3.82,LOW
3.71,54.4,5.5,67.7,69.6,0,5.4,3.87,HIGH
3.71,81.9,12.0,79.8,77.2,5,7.2,4.57,LOW
4.1,43.3,14.8,67.8,76.7,9,1.9,4.03,HIGH
3.31,89.4,19.3,41.9,88.8,11,9.1,4.54,LOW
4.75,74.3,10.0,73.7,82.9,2,5.9,4.52,MEDIUM
4.71,100.0,6.2,93.8,91.1,0,10.0,5.0,LOW
3.21,85.8,13.7,45.9,54.3,6,8.5,3.89,MEDIUM
4.62,92.8,19.9,79.6,69.3,9,5.4,4.89,LOW
3.15,61.2,10.4,58.5,62.1,9,8.9,3.76,MEDIUM
1.97,89.0,7.0,47.1,59.8,4,9.8,3.53,MEDIUM
1.54,67.7,12.7,40.5,47.2,10,5.9,3.01,HIGH
3.82,95.4,2.3,76.3,46.4,6,8.9,4.03,HIGH
3.62,60.1,10.7,67.8,77.5,9,3.6,3.79,MEDIUM
4.2,79.8,19.1,68.5,58.4,2,7.9,4.29,MEDIUM
3.83,59.5,17.2,81.5,81.8,9,7.3,4.42,HIGH
1.55,80.0,11.1,20.6,46.2,7,10.0,2.85,HIGH
2.08,100.0,22.0,54.0,45.3,12,9.8,4.06,HIGH
3.51,89.5,23.5,79.1,75.8,7,9.1,4.67,LOW
4.83,77.5,16.0,100.0,82.4,7,10.0,5.0,LOW
4.83,38.6,3.2,79.9,87.4,0,1.5,4.01,HIGH
3.59,69.4,0.7,63.2,50.9,0,7.2,3.5,MEDIUM
2.52,85.6,20.3,53.3,50.2,11,7.0,3.79,MEDIUM
1.91,69.8,13.5,43.5,55.9,6,7.2,3.36,MEDIUM
2.41,100.0,21.8,59.6,35.8,10,10.0,3.91,HIGH
1.86,79.1,4.0,48.1,53.8,3,4.6,2.36,MEDIUM
4.62,95.3,11.0,80.7,58.4,6,10.0,4.75,MEDIUM
2.16,81.3,18.2,46.4,34.0,11,8.8,3.64,HIGH
2.41,73.6,7.6,60.5,48.0,4,7.6,3.51,HIGH
4.49,70.5,18.1,69.7,82.7,6,9.7,4.97,MEDIUM
0.98,61.8,11.3,27.4,24.9,4,4.6,2.24,HIGH
3.7,95.5,12.2,76.1,62.6,7,6.9,4.55,MEDIUM
2.33,71.2,4.9,39.3,63.9,3,5.1,3.26,MEDIUM
3.24,86.4,13.5,28.1,77.6,4,9.7,3.7,LOW
4.38,69.6,25.2,95.2,74.3,16,6.0,5.0,MEDIUM
1.91,60.7,14.3,43.5,40.1,10,4.3,2.83,HIGH
2.12,86.9,7.2,34.3,44.3,3,6.7,2.96,HIGH
1.31,66.1,20.4,43.8,62.9,11,7.0,3.05,MEDIUM
3.84,71.6,7.4,70.6,72.0,2,7.1,4.12,MEDIUM
2.11,58.0,22.3,36.3,66.4,15,3.0,2.93,HIGH
4.59,70.1,4.4,87.5,91.0,10,4.2,4.77,MEDIUM
2.4,78.4,13.6,51.5,50.3,6,6.8,3.24,MEDIUM
3.59,73.4,21.2,62.7,60.4,16,9.2,3.94,MEDIUM
1.31,91.1,6.8,26.9,45.6,2,8.3,2.68,HIGH
3.09,80.3,12.5,51.1,51.8,6,5.1,3.87,MEDIUM
3.72,100.0,18.9,78.2,65.4,15,9.8,4.49,LOW
2.62,84.8,0.0,41.7,62.5,1,8.6,3.24,MEDIUM
2.35,50.2,17.6,42.3,48.0,12,2.1,2.61,HIGH
2.75,74.6,11.5,57.2,51.7,6,5.0,3.47,MEDIUM
1.81,76.0,20.7,56.8,39.7,6,9.1,3.48,HIGH
3.31,68.2,7.0,66.0,56.1,12,4.4,3.51,MEDIUM
3.11,79.2,3.7,67.6,67.0,3,9.5,3.78,LOW
0.41,67.7,8.7,22.2,24.2,6,3.7,1.72,HIGH
3.51,83.3,8.6,76.8,50.9,4,5.3,4.13,MEDIUM
3.19,47.5,10.8,82.2,56.8,9,4.8,3.36,HIGH
3.56,96.3,9.2,64.1,63.5,8,8.1,4.15,MEDIUM
2.52,52.7,0.0,52.9,48.7,0,4.2,3.0,HIGH
3.65,73.8,11.4,71.4,76.2,8,7.7,4.15,MEDIUM
1.22,66.3,13.4,38.6,26.7,11,5.5,2.37,HIGH
4.35,82.9,10.8,81.6,100.0,11,6.4,5.0,LOW
3.42,75.1,13.7,60.9,82.5,10,8.5,4.78,LOW
2.58,82.0,12.5,53.6,70.6,10,8.6,3.62,LOW
2.36,95.8,3.7,74.7,38.6,2,9.7,3.64,HIGH
3.29,90.3,10.2,67.5,39.7,3,9.0,3.58,HIGH
3.76,78.6,12.7,52.3,66.6,7,6.3,3.83,LOW
2.07,85.4,10.6,42.1,50.5,3,6.5,3.02,MEDIUM
4.33,100.0,3.0,80.0,76.6,1,9.3,4.78,LOW
3.08,90.9,19.3,59.8,54.7,9,7.5,3.95,MEDIUM
2.78,73.3,6.2,56.1,36.1,2,7.3,3.17,HIGH
1.09,98.4,4.5,34.3,25.3,5,9.1,2.4,HIGH
4.42,84.3,12.2,86.4,77.0,5,8.5,4.85,LOW
2.97,62.6,10.1,62.2,53.7,12,6.1,3.3,MEDIUM
3.08,75.1,15.6,70.7,55.1,12,10.0,3.84,MEDIUM
2.74,54.4,17.2,41.1,46.8,14,2.7,3.03,HIGH
1.08,41.4,16.3,28.7,53.0,8,3.8,2.44,HIGH
3.98,62.8,12.0,79.0,82.2,8,4.1,4.36,MEDIUM
3.14,80.0,15.3,64.6,73.4,6,7.0,3.95,LOW
2.11,80.0,2.6,40.1,50.8,3,6.4,2.68,MEDIUM
3.02,55.4,18.6,55.0,44.3,5,6.8,3.62,HIGH
2.27,39.9,9.6,40.7,58.7,9,1.0,2.95,HIGH
3.04,100.0,23.8,70.3,76.7,11,10.0,4.83,LOW
3.66,79.5,18.7,51.3,87.1,12,9.0,4.62,LOW
2.22,100.0,10.8,35.5,56.6,8,10.0,3.12,MEDIUM
2.93,100.0,12.1,63.1,59.0,6,10.0,4.21,MEDIUM
4.38,89.8,19.1,86.1,79.3,9,7.4,5.0,LOW
2.24,78.9,0.0,32.7,55.6,1,10.0,3.2,MEDIUM
1.93,71.6,11.0,50.3,25.4,9,6.5,3.02,HIGH
2.56,89.5,22.2,55.2,61.5,12,9.6,3.76,MEDIUM
1.14,75.4,17.1,37.3,28.2,12,10.0,2.65,HIGH
4.51,68.6,7.0,83.4,100.0,7,5.3,4.73,MEDIUM
1.72,44.4,13.9,45.1,38.5,8,4.6,2.4,HIGH
4.67,76.7,6.1,89.7,85.8,4,3.8,4.43,LOW
1.38,95.5,10.0,40.4,39.0,7,10.0,3.1,HIGH
3.04,98.1,14.0,63.0,52.2,12,10.0,4.36,MEDIUM
3.25,78.9,15.1,62.8,68.9,8,9.0,3.88,LOW
3.35,63.8,16.4,64.5,69.0,13,9.1,4.38,MEDIUM
3.7,92.4,19.4,72.7,82.0,12,10.0,4.94,LOW
2.85,77.8,4.8,66.0,66.5,2,6.4,3.94,LOW
2.56,72.1,12.1,73.0,56.0,7,7.9,3.84,MEDIUM
3.69,54.7,6.9,75.6,59.8,2,6.5,3.76,HIGH
3.56,100.0,9.6,72.1,58.3,2,7.7,4.22,MEDIUM
2.75,89.8,7.5,68.4,76.4,7,10.0,4.12,LOW
4.15,91.5,15.0,81.1,77.1,11,8.1,5.0,LOW
2.93,64.2,18.3,48.3,83.9,11,6.0,4.05,MEDIUM
2.89,79.3,18.6,51.0,48.6,11,7.4,3.66,HIGH
3.79,76.7,5.4,90.1,97.4,2,7.7,4.72,LOW
3.98,90.5,11.3,67.6,62.5,8,10.0,4.56,MEDIUM
2.22,99.8,5.2,54.0,43.8,10,8.8,3.36,HIGH
2.07,55.1,5.0,36.2,52.3,7,2.4,2.4,HIGH
3.79,60.8,8.0,84.7,83.1,5,6.4,4.51,MEDIUM
3.99,88.3,14.1,70.3,82.0,8,7.1,4.6,LOW
3.93,69.9,15.1,74.7,50.0,8,6.2,4.03,MEDIUM
1.84,91.0,15.9,40.4,37.0,5,10.0,3.31,HIGH
3.09,72.0,15.6,66.5,47.6,8,5.0,3.57,HIGH
1.09,58.0,6.9,33.1,16.7,7,5.1,1.99,HIGH
1.66,49.9,19.1,48.9,41.0,8,5.6,2.71,HIGH
4.04,85.7,16.8,82.2,49.3,9,7.0,3.92,HIGH
4.61,86.1,9.5,87.0,94.6,3,8.5,5.0,LOW
3.65,93.5,9.8,76.3,78.0,9,9.9,4.69,LOW
2.97,83.2,8.1,66.6,79.0,2,8.1,4.07,LOW
2.25,17.9,4.2,44.8,36.7,5,2.1,1.68,HIGH
1.16,86.1,16.0,27.7,22.7,13,9.3,2.43,HIGH
4.69,54.7,16.9,100.0,96.3,9,4.1,5.0,HIGH
3.97,48.1,6.4,81.6,87.1,3,1.9,4.0,HIGH
2.01,46.2,4.6,49.1,62.3,5,2.5,2.29,HIGH
3.29,44.7,6.4,56.4,77.9,9,2.1,3.46,HIGH
1.38,82.5,12.7,17.9,40.0,12,10.0,2.49,HIGH
3.06,66.3,3.7,58.0,55.3,3,3.2,3.11,MEDIUM
3.82,53.7,18.8,67.8,80.3,8,6.6,4.33,HIGH
2.8,78.4,18.4,53.9,51.9,10,6.5,3.75,MEDIUM
3.22,60.3,14.5,71.9,64.4,4,8.1,4.1,MEDIUM
1.93,93.7,16.9,59.3,40.5,8,8.5,3.58,HIGH
4.43,100.0,12.4,92.5,83.2,9,10.0,5.0,LOW
4.05,74.5,14.8,69.6,89.6,8,8.5,4.61,MEDIUM
2.79,100.0,4.2,62.2,52.9,2,10.0,3.58,MEDIUM
2.63,100.0,20.3,49.6,48.8,12,8.9,3.95,HIGH
4.34,79.4,9.1,61.6,77.4,5,6.7,4.59,LOW
3.43,100.0,11.2,65.7,51.9,9,10.0,4.41,MEDIUM
2.86,68.1,26.9,70.5,66.0,11,3.6,3.99,MEDIUM
1.38,46.7,10.7,32.4,38.7,8,1.2,2.11,HIGH
2.56,53.1,16.4,61.7,53.4,10,6.0,3.23,HIGH
4.25,67.3,15.1,72.1,81.5,10,8.1,4.86,MEDIUM
0.81,86.5,4.0,34.0,11.6,0,9.3,2.4,HIGH
0.96,59.5,6.0,27.0,48.3,7,5.8,2.32,HIGH
2.39,67.2,24.2,66.1,45.2,15,5.6,3.32,HIGH
2.54,58.0,15.5,49.9,49.0,14,9.0,3.57,HIGH
4.27,67.6,11.9,73.6,88.1,5,10.0,5.0,MEDIUM
2.44,99.5,8.8,66.4,59.6,4,10.0,3.64,MEDIUM
3.4,83.7,13.9,60.3,89.7,3,7.0,4.48,LOW
3.53,68.8,14.5,70.1,55.8,6,4.9,3.83,MEDIUM
3.51,97.5,13.4,61.9,55.8,12,10.0,4.59,MEDIUM
3.96,78.4,18.4,83.6,59.0,12,5.4,4.25,MEDIUM
3.57,80.1,6.8,81.5,69.6,3,5.6,4.02,LOW
1.3,96.3,6.0,27.8,33.0,5,8.7,2.32,HIGH
2.67,72.5,18.3,60.5,47.0,10,8.3,3.74,HIGH
4.37,92.7,24.7,87.0,78.4,8,10.0,5.0,LOW
4.08,91.5,17.1,77.5,62.7,5,9.7,4.74,MEDIUM
2.83,75.7,19.8,72.8,76.2,15,8.6,4.25,LOW
4.15,55.7,11.6,92.4,67.7,9,7.5,4.32,HIGH
2.35,78.2,13.6,41.8,44.1,4,9.6,3.2,HIGH
3.3,96.2,13.5,76.6,35.5,8,8.5,4.22,HIGH
2.49,91.1,11.7,57.4,33.1,5,10.0,3.17,HIGH
4.22,100.0,20.5,80.8,70.1,15,10.0,5.0,LOW
2.89,70.2,18.7,56.0,54.8,12,7.6,3.5,MEDIUM
3.38,90.5,9.6,50.9,74.0,3,9.3,4.01,LOW
1.37,61.9,2.1,38.4,19.3,3,7.4,2.1,HIGH
4.12,81.2,11.6,79.8,81.1,7,9.1,5.0,LOW
2.43,95.7,5.1,71.4,59.6,4,5.8,3.5,MEDIUM
2.73,92.5,12.1,49.2,64.3,6,10.0,4.08,MEDIUM
3.59,79.6,5.5,52.8,80.7,4,10.0,3.78,LOW
4.37,73.7,19.5,68.7,65.2,9,9.3,4.64,MEDIUM
3.01,62.1,16.1,76.1,66.7,6,7.0,3.94,MEDIUM
2.47,74.4,16.0,47.6,73.8,6,7.7,3.84,MEDIUM
3.05,57.0,18.4,74.4,77.5,8,4.9,3.89,HIGH
3.79,72.5,14.3,71.9,93.7,10,7.0,4.46,MEDIUM
3.9,49.1,15.3,63.8,75.5,10,6.4,3.7,HIGH
3.81,56.9,20.6,92.2,64.3,16,6.5,4.57,HIGH
2.37,91.6,11.2,63.7,20.8,6,10.0,3.22,HIGH
4.15,89.9,15.6,75.5,61.2,11,7.9,4.84,MEDIUM
3.77,73.4,5.7,81.5,64.4,4,9.5,4.3,MEDIUM
3.54,79.0,12.5,69.3,63.4,9,6.7,4.37,MEDIUM
3.48,81.2,25.6,71.5,57.2,17,8.5,4.36,MEDIUM
